"",		"2D",		"M3D"		"2D",		"M3D"		"2D",		"M3D"
"SYS",	0.921,		0.8761,     2.706,		2.519,      5.7021,		5.615
"M7",	16.08,		30.01,      32.06,		54.44,      19.22,		27.54
"M6",	6.8,		7.17,       8.8,		7.3,        1.56,		12.29
"M5",	0.24,		2.58,       0.78,		0.6,        0.4,		3.63
"M2",	1.9,		4.63,       3.39,		3.6,        2.09,		3.2
"M1",	1.61,		0.92,       1.55,		3.08,       0.76,		1.5
"M7_B",	0,			4.81,       0,			7.05,       0,			7.11
"M6_B",	0,			2.24,       0,			2.62,       0,			1.91
"M5_B",	0,			0.55,       0,			0.68,       0,			0.35
"M2_B",	0,			1.99,       0,			3.88,       0,			2.07
"M1_B",	0,			1.36,       0,			1.12,       0,			1.32
